country,wikipedia_page,export_partners,import_partners
"South Korea","https://en.wikipedia.org/wiki/Economy_of_South_Korea","China,ASEAN,United States,European Union,Hong Kong,Japan,Russia,Taiwan","China,United States,European Union,ASEAN,Japan,Australia,Russia,Saudi Arabia,Taiwan"
"Australia","https://en.wikipedia.org/wiki/Economy_of_Australia","China,Japan,South Korea,United States,India,New Zealand","China,United States,Japan,Germany,Thailand,United Kingdom"
"Mexico","https://en.wikipedia.org/wiki/GDP_of_Mexico","United States,Canada,China,Spain,Brazil","United States,China,Japan,Germany,South Korea"
"Spain","https://en.wikipedia.org/wiki/GDP_of_Spain","France,Germany,Italy,Portugal,United Kingdom,United States","Germany,France,China,Italy,Netherlands,United Kingdom"
"Indonesia","https://en.wikipedia.org/wiki/Economy_of_Indonesia","China,ASEAN,United States,European Union,Japan,India,South Korea,Hong Kong","China,ASEAN,Japan,European Union,South Korea,United States,Australia,India"
"Netherlands","https://en.wikipedia.org/wiki/Economy_of_the_Netherlands","Germany,Belgium,United Kingdom,France,United States","Germany,China,Belgium,United States,Russia,United Kingdom"
"Saudi Arabia","https://en.wikipedia.org/wiki/Economy_of_Saudi_Arabia","China,India,Japan,South Korea,United States,Singapore,France,United Arab Emirates,Egypt","China,United Arab Emirates,United States,Germany,Japan,India,United Kingdom,South Korea,Netherlands,Italy"
"Turkey","https://en.wikipedia.org/wiki/Economy_of_Turkey","Germany,United States,United Kingdom,Italy,Iraq,Spain,France,Netherlands,Israel,Russia","China,Germany,Russia,United States,Italy,France,India,South Korea,Spain,Netherlands"
"Switzerland","https://en.wikipedia.org/wiki/Economy_of_Switzerland","Germany,United States,China,India,France,United Kingdom","Germany,United States,Italy,United Kingdom,France,China,Belgium"
"Taiwan","https://en.wikipedia.org/wiki/Economy_of_Taiwan","China,ASEAN,United States,Hong Kong,Japan,European Union","China,Japan,ASEAN,United States,European Union,South Korea"
"Poland","https://en.wikipedia.org/wiki/Economy_of_Poland","Germany,Czech Republic,France,United Kingdom,Italy,Netherlands","Germany,China,Russia,Italy,Netherlands"
"Argentina","https://en.wikipedia.org/wiki/GDP_of_Argentina","Brazil,China,United States,Chile","Brazil,China,United States,Germany"
"Belgium","https://en.wikipedia.org/wiki/Economy_of_Belgium","Germany,France,Netherlands,United Kingdom,Italy,United States","Netherlands,Germany,France,United States,United Kingdom,Ireland,China"
"Sweden","https://en.wikipedia.org/wiki/Economy_of_Sweden","Germany,Norway,Finland,United States,Denmark,United Kingdom,Netherlands,China","Germany,Netherlands,Norway,Denmark,United Kingdom,Belgium,Finland,China,France"
"Ireland","https://en.wikipedia.org/wiki/Economy_of_the_Republic_of_Ireland","United States,Great Britain,Belgium,Germany,Switzerland,Netherlands,France,China","Great Britain,United States,France,Germany,China,Netherlands,Italy,Belgium"
"Thailand","https://en.wikipedia.org/wiki/Economy_of_Thailand",",,,,",",,,,"
"Norway","https://en.wikipedia.org/wiki/Economy_of_Norway","United Kingdom,Germany,Netherlands,Sweden,France,Belgium,Denmark,United States","Sweden,Germany,China,United States,South Korea,Denmark,United Kingdom"
"Israel","https://en.wikipedia.org/wiki/Economy_of_Israel","United States,China,Palestine,India,Germany,Ireland,United Kingdom,Netherlands,Turkey,Taiwan","China,United States,Turkey,Germany,Switzerland,Italy,India,Belgium,Netherlands,Hong Kong"
"Singapore","https://en.wikipedia.org/wiki/Economy_of_Singapore","China,Hong Kong,Malaysia,United States,Indonesia","China,Malaysia,United States,Japan,Taiwan"
"Austria","https://en.wikipedia.org/wiki/Economy_of_Austria","Germany,United States,Italy,Switzerland,France,Slovakia","Germany,Italy,Switzerland,Czech Republic,Netherlands"
"Nigeria","https://en.wikipedia.org/wiki/Economy_of_Nigeria","India,Spain,China,Netherlands,South Africa,France","China,Netherlands,United States,India,Belgium"
"United Arab Emirates","https://en.wikipedia.org/wiki/Economy_of_the_United_Arab_Emirates","India,Japan,China,Saudi Arabia,Iraq,Singapore,Oman,Hong Kong,Thailand,Switzerland","China,India,United States,Saudi Arabia,Germany,United Kingdom,Mali,Japan,Italy,Turkey"
"Vietnam","https://en.wikipedia.org/wiki/Economy_of_Vietnam","United States,China,European Union,ASEAN,South Korea,Japan","China,South Korea,ASEAN,Japan,European Union,United States"
"Malaysia","https://en.wikipedia.org/wiki/Economy_of_Malaysia","China,Singapore,United States,Japan","China,Singapore,United States,Japan,Hong Kong"
"Philippines","https://en.wikipedia.org/wiki/Economy_of_the_Philippines","ASEAN,United States,China,Japan,Hong Kong,European Union","ASEAN,China,Japan,South Korea,European Union,United States"
"Bangladesh","https://en.wikipedia.org/wiki/Economy_of_Bangladesh","Germany,United States,United Kingdom,Spain,Poland,France,Netherlands,Italy","China,India,Singapore,European Union,Hong Kong"
"Denmark","https://en.wikipedia.org/wiki/Economy_of_Denmark","Germany,Sweden,United Kingdom,United States,Norway,China","Germany,Sweden,Netherlands,China,Norway,Poland"
"South Africa","https://en.wikipedia.org/wiki/Economy_of_South_Africa","China,United States,Germany,Japan,United Kingdom,Botswana","China,Germany,United States,India,Saudi Arabia,Japan"
"Hong Kong","https://en.wikipedia.org/wiki/Economy_of_Hong_Kong","Mainland China,United States,Taiwan","Mainland China,Taiwan,Singapore"
"Egypt","https://en.wikipedia.org/wiki/Economy_of_Egypt","United States,Turkey,Greece,India,Italy,Saudi Arabia,Spain,United Kingdom,United Arab Emirates,Germany","China,Saudi Arabia,United States,Russia,Turkey,United Arab Emirates,Germany,Italy,India,Netherlands"
"Pakistan","https://en.wikipedia.org/wiki/GDP_of_Pakistan","United States,China,United Kingdom,United Arab Emirates,Germany,Netherlands,Spain,Italy","China,United Arab Emirates,Saudi Arabia,Singapore,United States,Indonesia,Kuwait,Japan"
"Iran","https://en.wikipedia.org/wiki/Economy_of_Iran","China,Turkey,Pakistan,Armenia,India,Azerbaijan,Kuwait,Germany,United Arab Emirates,Oman","China,United Arab Emirates,Turkey,Brazil,Germany,India,Ukraine,Malaysia,Italy,Netherlands"
"Chile","https://en.wikipedia.org/wiki/Economy_of_Chile","China,United States,Japan,South Korea,Brazil","China,United States,Brazil,Argentina,Germany"
"Romania","https://en.wikipedia.org/wiki/GDP_of_Romania","Germany,Italy,France,Hungary,Poland,Bulgaria,Turkey,Netherlands,Czech Republic,United Kingdom","Germany,Italy,Hungary,Poland,China,Turkey,France,Bulgaria,Netherlands,Austria"
"Colombia","https://en.wikipedia.org/wiki/Economy_of_Colombia","United States,Panama,China","United States,China,Mexico,Brazil,Germany"
"Czech Republic","https://en.wikipedia.org/wiki/Economy_of_the_Czech_Republic","EU,Germany,Slovakia,Poland,France,United Kingdom,Italy,Austria","EU,Germany,Poland,China,Slovakia,Netherlands,Italy"
"Finland","https://en.wikipedia.org/wiki/Economy_of_Finland","Germany,Sweden,Netherlands,United States,China,Russia,United Kingdom","Germany,Russia,Sweden,China,Netherlands,France"
"Iraq","https://en.wikipedia.org/wiki/Economy_of_Iraq","India,China,Greece,South Korea,Italy,United States,United Arab Emirates,Turkey,Spain","United Arab Emirates,Turkey,China,India,Germany,Saudi Arabia,South Korea,Italy,United States,Ukraine"
"Peru","https://en.wikipedia.org/wiki/Economy_of_Peru","China,United States,India,South Korea,Japan","China,United States,Brazil,Mexico,Ecuador"
"Portugal","https://en.wikipedia.org/wiki/Economy_of_Portugal","Spain,France,Germany,US,UK,Italy,Netherlands,Angola","Spain,Germany,France,China,Netherlands,Italy,Brazil,US"
"New Zealand","https://en.wikipedia.org/wiki/Economy_of_New_Zealand","China,Australia,United States,European Union,Japan","European Union,Australia,China,United States,Japan"
"Kazakhstan","https://en.wikipedia.org/wiki/Economy_of_Kazakhstan","China,Russia,Greece,United Kingdom,Germany,Uzbekistan,South Korea,France,Spain,United States","Russia,China,Germany,Turkey,Uzbekistan,Poland,South Korea,Belarus,United States,United Arab Emirates"
"Greece","https://en.wikipedia.org/wiki/Economy_of_Greece","Italy,Germany,France,Cyprus,Bulgaria,Turkey,United States,United Kingdom,Romania,Spain","Germany,China,Italy,Netherlands,France,Russia,Ireland,Spain,Iraq,Bulgaria"
"Qatar","https://en.wikipedia.org/wiki/Economy_of_Qatar","Japan,South Korea,India,China,European Union,Singapore,Thailand,Taiwan,Pakistan,United Kingdom,United States","European Union,United States,United Kingdom,China,India,Turkey,Japan,Oman"
"Algeria","https://en.wikipedia.org/wiki/Economy_of_Algeria","Italy,Spain,France,United States,South Korea,Netherlands,United Kingdom,Greece,Turkey,Brazil","China,France,Spain,Germany,Italy,Turkey,Brazil,Russia,Argentina,Canada"
"Hungary","https://en.wikipedia.org/wiki/Economy_of_Hungary","Germany,Romania,Italy,Austria,Slovakia,France,Czech Republic,Poland","Germany,Austria,China,Poland,Slovakia,Netherlands,Czech Republic,Italy,France"
"Kuwait","https://en.wikipedia.org/wiki/Economy_of_Kuwait","India,China,UAE,Iraq,Saudi Arabia","China,United States,UAE,Japan"
"Ethiopia","https://en.wikipedia.org/wiki/Economy_of_Ethiopia","",""
"Ukraine","https://en.wikipedia.org/wiki/Economy_of_Ukraine","China,Poland,Turkey,Russia,Italy,Germany,India,Netherlands,Egypt,Spain","China,Russia,Poland,Germany,Belarus,Turkey,Hungary,United States,Italy,Czech Republic"
"Morocco","https://en.wikipedia.org/wiki/Economy_of_Morocco","Spain,France,India,Brazil,Italy,Germany,United Kingdom,United States,Turkey,Netherlands","Spain,China,France,Turkey,United States,Italy,Germany,Saudi Arabia,Russia,Netherlands"
"Slovakia","https://en.wikipedia.org/wiki/Economy_of_Slovakia","Germany,Czech Republic,Poland,France,Italy,United Kingdom,Hungary,Austria","Germany,Czech Republic,Austria,Poland,Hungary,South Korea,Russia,France,China"
"Ecuador","https://en.wikipedia.org/wiki/Economy_of_Ecuador","United States,Vietnam,Chile,Panama,Russia","United States,China,Colombia,Brazil,Panama"
"Puerto Rico","https://en.wikipedia.org/wiki/Economy_of_Puerto_Rico","United States,Belgium,Netherlands,Italy,Spain","United States,Ireland,Singapore,Switzerland,South Korea"
"Kenya","https://en.wikipedia.org/wiki/Economy_of_Kenya","Uganda,Pakistan,United States,United Kingdom,Netherlands,Tanzania,Ethiopia","China,India,United Arab Emirates,Saudi Arabia,South Africa,Egypt"
"Dominican Republic","https://en.wikipedia.org/wiki/Economy_of_the_Dominican_Republic","United States,Haiti,Switzerland,India,Canada","United States,China,Mexico,Brazil,Chile"
"Angola","https://en.wikipedia.org/wiki/Economy_of_Angola","China,India,United States","Portugal,China,United States,South Africa,Brazil,United Kingdom"
"Oman","https://en.wikipedia.org/wiki/Economy_of_Oman","China,Japan,United Arab Emirates,South Korea,Thailand,Singapore","United Arab Emirates,Japan,India,China,United States,United Kingdom,Italy"
"Cuba","https://en.wikipedia.org/wiki/Economy_of_Cuba","Venezuela,Spain,Russia,Lebanon,Indonesia,Germany","China,Spain,Russia,Brazil,Mexico,Italy,United States"
"Guatemala","https://en.wikipedia.org/wiki/Economy_of_Guatemala","United States,El Salvador,Honduras,Nicaragua,Mexico","United States,China,Mexico,El Salvador"
"Bulgaria","https://en.wikipedia.org/wiki/Economy_of_Bulgaria","Germany,Romania,Greece,Italy,Turkey,France,China,Belgium,Spain,United States","Germany,Turkey,Greece,Romania,Italy,Russia,China,Netherlands,Poland,Hungary"
"Venezuela","https://en.wikipedia.org/wiki/Economy_of_Venezuela","United States,China,India,Singapore,Spain","United States,China,Mexico,Brazil,Colombia"
"Uzbekistan","https://en.wikipedia.org/wiki/Economy_of_Uzbekistan","Switzerland,China,United Kingdom,Russia,Turkey,Kazakhstan,Kyrgyzstan,Afghanistan,Tajikistan,Singapore","China,Russia,Kazakhstan,South Korea,Turkey,Germany,Turkmenistan,Italy,India,Ukraine"
"Luxembourg","https://en.wikipedia.org/wiki/Economy_of_Luxembourg","Germany,Belgium,France,Netherlands,Italy,United Kingdom","Belgium,Germany,France,United States,Netherlands,China"
"Tanzania","https://en.wikipedia.org/wiki/Economy_of_Tanzania","India,United Arab Emirates,China,Switzerland,Rwanda,Kenya,Vietnam","China,India,United Arab Emirates"
"Turkmenistan","https://en.wikipedia.org/wiki/Economy_of_Turkmenistan","China,Turkey,Uzbekistan,Georgia,Russia,Brazil,Cyprus,Greece,Ukraine,Italy","Turkey,China,Russia,United Arab Emirates,Germany,Italy,India,Uzbekistan,USA,Brazil"
"Croatia","https://en.wikipedia.org/wiki/Economy_of_Croatia","Slovenia,Italy,Germany,Hungary,Bosnia and Herzegovina","Germany,Italy,Slovenia,Hungary,Austria"
"Lithuania","https://en.wikipedia.org/wiki/Economy_of_Lithuania","Russia,Latvia,Poland,Germany,United States,Estonia,Sweden","Russia,Germany,Poland,Latvia,Italy,Netherlands,Sweden"
"Costa Rica","https://en.wikipedia.org/wiki/GDP_of_Costa_Rica","United States,Belgium,Panama,Netherlands,Nicaragua,Guatemala","United States,China,Mexico"
"Uruguay","https://en.wikipedia.org/wiki/Economy_of_Uruguay","China,Brazil,United States,Argentina","China,Brazil,Argentina,United States"
"Panama","https://en.wikipedia.org/wiki/Economy_of_Panama","United States,Netherlands,China,Costa Rica,India,Vietnam","United States,China,Mexico"
"Ivory Coast","https://en.wikipedia.org/wiki/Economy_of_Ivory_Coast","Netherlands,United States,France,Malaysia,Vietnam,Mali,Spain,Switzerland,Germany,Burkina Faso","China,Nigeria,France,USA,India"
"Sri Lanka","https://en.wikipedia.org/wiki/Economy_of_Sri_Lanka","USA,UK,India,Germany,Italy","China,India,UAE,Malaysia,Singapore"
"Serbia","https://en.wikipedia.org/wiki/Economy_of_Serbia","EU,Bosnia and Herzegovina,Russia,China,Montenegro","EU,China,Russia,Turkey,Bosnia and Herzegovina"
"Belarus","https://en.wikipedia.org/wiki/Economy_of_Belarus","Russia,Ukraine,Poland,Lithuania,Germany,United Kingdom,China,Kazakhstan,Netherlands","Russia,China,Poland,Germany,Ukraine,Lithuania,Turkey,Italy,Netherlands,United States"
"Azerbaijan","https://en.wikipedia.org/wiki/Economy_of_Azerbaijan","Italy,Turkey,Israel,India,Greece,Spain,Russia,Croatia,Czechia,United Kingdom","Russia,Turkey,China,Germany,Turkmenistan,United States of America,Iran,Italy,Japan,South Korea"
"Ghana","https://en.wikipedia.org/wiki/Economy_of_Ghana","India,United Arab Emirates,China,Switzerland,Vietnam,Burkina Faso","China,United States,United Kingdom,Belgium,India"
"DR Congo","https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo","China,Zambia,Belgium,United Kingdom","South Africa,China,Belgium,Zambia,Zimbabwe,Kenya,France,Turkey"
"Slovenia","https://en.wikipedia.org/wiki/Economy_of_Slovenia","Switzerland,Germany,Italy,Croatia,Austria,France","Switzerland,Germany,Italy,China,Austria,Croatia"
"Myanmar","https://en.wikipedia.org/wiki/Economy_of_Myanmar","",""
"Jordan","https://en.wikipedia.org/wiki/Economy_of_Jordan","United States,India,Saudi Arabia,Iraq,China,United Arab Emirates,Indonesia,Israel,Egypt,Palestine","China,Saudi Arabia,United Arab Emirates,United States,Turkey,India,Germany,Switzerland,Egypt,South Korea"
"Tunisia","https://en.wikipedia.org/wiki/Economy_of_Tunisia","France,Italy,Germany,Spain,Libya,United States,Netherlands,Switzerland,Turkey,United Kingdom","France,Italy,China,Germany,Turkey,Greece,Spain,Algeria,Azerbaijan,United States"
"Uganda","https://en.wikipedia.org/wiki/Economy_of_Uganda","Kenya,UAE,DR Congo,Rwanda,Tanzania","China,India,UAE,Kenya,Japan,Saudi Arabia,Indonesia,South Africa"
"Cameroon","https://en.wikipedia.org/wiki/Economy_of_Cameroon","Netherlands,France,China,Belgium,Italy,Algeria,Malaysia","China,France,Thailand,Nigeria"
"Latvia","https://en.wikipedia.org/wiki/GDP_of_Latvia","Lithuania,Russia,Estonia,Germany,Sweden,United Kingdom,Poland,Denmark","Lithuania,Germany,Poland,Estonia,Russia,Netherlands,Finland,Italy"
"Sudan","https://en.wikipedia.org/wiki/Economy_of_Sudan","UAE,Egypt,Oman,Germany,Indonesia,Turkey,South Korea,France","UAE,Egypt,Germany,Pakistan,Russia,Turkey,Japan,South Korea"
"Libya","https://en.wikipedia.org/wiki/Economy_of_Libya","Italy,Germany,Spain,China,France,United States,Greece,Netherlands,United Kingdom,Thailand","Turkey,Greece,China,United Arab Emirates,Italy,Egypt,Germany,Tunisia,Netherlands,South Korea"
"Bolivia","https://en.wikipedia.org/wiki/Economy_of_Bolivia","Brazil,Argentina,United States,Japan,India,South Korea,Colombia,China,United Arab Emirates","China,Brazil,Argentina,United States,Peru"
"Bahrain","https://en.wikipedia.org/wiki/Economy_of_Bahrain","United Arab Emirates,Saudi Arabia,United States,Japan","United Arab Emirates,China,Saudi Arabia,United States,Brazil,Japan,India"
"Paraguay","https://en.wikipedia.org/wiki/Economy_of_Paraguay","Brazil,Argentina,Chile,Russia","Brazil,United States,China,Argentina,Chile"
"Nepal","https://en.wikipedia.org/wiki/Economy_of_Nepal","India,United States,Turkey","India,China"
"Estonia","https://en.wikipedia.org/wiki/Economy_of_Estonia","Finland,Sweden,Latvia,Russia,Germany","Finland,Germany,Lithuania,Sweden,Russia"
"Macau","https://en.wikipedia.org/wiki/Economy_of_Macau","Hong Kong,China,Portugal","China,Italy,Hong Kong,France,Switzerland,Japan,United States"
"El Salvador","https://en.wikipedia.org/wiki/Economy_of_El_Salvador","United States,Guatemala,Honduras,Nicaragua","United States,China,Guatemala,Mexico,Colombia,European Union"
"Honduras","https://en.wikipedia.org/wiki/Economy_of_Honduras","United States,Germany,Belgium,El Salvador,Netherlands,Guatemala,Nicaragua","United States,Guatemala,China,Mexico,El Salvador,Panama,Costa Rica"
"Papua New Guinea","https://en.wikipedia.org/wiki/Economy_of_Papua_New_Guinea","Australia,China,Japan,Taiwan","Australia,China,Singapore,Malaysia"
"Senegal","https://en.wikipedia.org/wiki/Economy_of_Senegal","Mali,Switzerland,India,China,Australia,Cote d'Ivoire,Spain,Gambia,Guinea,United States","China,Russia,France,India,Netherlands,Belgium,United States,Turkey,Nigeria,Spain"
"Cyprus","https://en.wikipedia.org/wiki/Economy_of_Cyprus","Greece,Lebanon,Marshall Islands,United Kingdom,Israel,British Virgin Islands,Libya,Liberia,Germany,Netherlands","Greece,Turkey,Italy,China,Germany,Netherlands,Israel,United Kingdom,Spain,Poland"
"Cambodia","https://en.wikipedia.org/wiki/Economy_of_Cambodia","United States,Singapore,Thailand,Germany,Japan,China,Canada,United Kingdom","China,Thailand,Vietnam,Singapore"
"Zimbabwe","https://en.wikipedia.org/wiki/Economy_of_Zimbabwe","South Africa,Mozambique,United Arab Emirates,Zambia","South Africa,Zambia"
"Zambia","https://en.wikipedia.org/wiki/Economy_of_Zambia","Switzerland,China,Namibia,DR Congo,Singapore","South Africa,China,United Arab Emirates,India"
"Iceland","https://en.wikipedia.org/wiki/Economy_of_Iceland","Netherlands,Spain,United Kingdom,Germany,United States,France,Norway","Germany,Norway,China,Netherlands,United States,Denmark,United Kingdom,Sweden"
"Bosnia and Herzegovina","https://en.wikipedia.org/wiki/Economy_of_Bosnia_and_Herzegovina","EU,Serbia,Montenegro,Turkey,Switzerland","EU,Serbia,China,Turkey,Russia"
"Trinidad and Tobago","https://en.wikipedia.org/wiki/Economy_of_Trinidad_and_Tobago","United States,Brazil,Argentina,Chile,Peru","United States,China,Singapore"
"Georgia","https://en.wikipedia.org/wiki/Economy_of_Georgia_(country)","China,Russia,Azerbaijan,Turkey,Ukraine,Bulgaria,Armenia,United States,Switzerland,Romania","Turkey,China,Russia,United States,Azerbaijan,Germany,Ukraine,Italy,Brazil,France"
"Haiti","https://en.wikipedia.org/wiki/Economy_of_Haiti","United States,Canada","United States,China,Turkey"
"Lebanon","https://en.wikipedia.org/wiki/Economy_of_Lebanon","United Arab Emirates,Switzerland,Cameroon,Egypt,Greece,Qatar,United States,Saudi Arabia,Iraq,Turkey","Greece,Turkey,China,UAE,US,Germany,Italy,Russia,Egypt,Switzerland"
"Armenia","https://en.wikipedia.org/wiki/Economy_of_Armenia","European Union,Russia,Switzerland,China,Iraq,Serbia,Canada,Iran","Russia,European Union,China,Iran,Turkey,Georgia,Ukraine,India"
"Guinea","https://en.wikipedia.org/wiki/Economy_of_Guinea","",""
"Burkina Faso","https://en.wikipedia.org/wiki/Economy_of_Burkina_Faso","Benin,Togo,Japan,Thailand,Turkey,Côte d'Ivoire,Ghana","Côte d'Ivoire,Pakistan,Ghana,India,China,Togo"
"Mali","https://en.wikipedia.org/wiki/Economy_of_Mali","",""
"Gabon","https://en.wikipedia.org/wiki/Economy_of_Gabon","United States,China,France,Thailand,Indonesia","France,Cameroon,Belgium,China,United States,Netherlands"
"Albania","https://en.wikipedia.org/wiki/Economy_of_Albania","Italy,Greece,Spain,Germany,China,North Macedonia,Czech Republic,Serbia,United States,Turkey","Italy,Greece,Turkey,China,Germany,Serbia,Russia,Bulgaria,Hungary,North Macedonia"
"Afghanistan","https://en.wikipedia.org/wiki/Economy_of_Afghanistan","United Arab Emirates,Pakistan,India,United States,China,Turkey,Germany,Denmark,Saudi Arabia,Jordan","Iran,Pakistan,India,China,United States,Uzbekistan,Kazakhstan,Turkey,Russia,Malaysia"
"Mozambique","https://en.wikipedia.org/wiki/Economy_of_Mozambique","South Africa,Italy,China,Belgium,Spain,Egypt","South Africa,India,China,Portugal,Australia"
"Palestine","https://en.wikipedia.org/wiki/Economy_of_the_State_of_Palestine","",""
"Botswana","https://en.wikipedia.org/wiki/Economy_of_Botswana","Belgium,India,United Arab Emirates,South Africa,Singapore,Israel,Hong Kong,Namibia","South Africa,Canada,Israel"
"Yemen","https://en.wikipedia.org/wiki/Economy_of_Yemen","Thailand,China,Saudi Arabia,Oman,Austria,India,United Arab Emirates,Germany,South Korea,Egypt","China,Saudi Arabia,United Arab Emirates,Turkey,Oman,India,Egypt,Japan,Brazil,United States"
"Malta","https://en.wikipedia.org/wiki/Economy_of_Malta","Germany,France,Italy,Japan,Singapore,United States,Spain,Hong Kong,China,Libya","Russia,Italy,United Kingdom,Germany,Turkey,France,China,Greece,Spain,Netherlands"
"Benin","https://en.wikipedia.org/wiki/Economy_of_Benin","Bangladesh,India,Vietnam,China,Nigeria,Denmark,Egypt,Niger","India,China,Togo,France,Thailand,Belgium,UAE,Morocco"
"Nicaragua","https://en.wikipedia.org/wiki/Economy_of_Nicaragua","United States,El Salvador,Venezuela,Costa Rica,Canada,Mexico","United States,China,Mexico,Costa Rica,Guatemala,El Salvador"
"Jamaica","https://en.wikipedia.org/wiki/Economy_of_Jamaica","United States,Netherlands,Canada","United States,Colombia,Japan,China,Trinidad and Tobago"
"Guyana","https://en.wikipedia.org/wiki/Economy_of_Guyana","United States,Singapore,UAE,United Kingdom,Canada,citation needed","Singapore,United States,Trinidad and Tobago,China,Japan,citation needed"
"Mongolia","https://en.wikipedia.org/wiki/Economy_of_Mongolia","China,Switzerland,Singapore","China,Russia,Japan,United States,South Korea"
"Niger","https://en.wikipedia.org/wiki/Economy_of_Niger","France,Thailand,Malaysia,Nigeria,Mali,China","France,China,US,Nigeria,Thailand"
"Brunei","https://en.wikipedia.org/wiki/Economy_of_Brunei","Japan,South Korea,Thailand,Malaysia,Pakistan,Singapore,Switzerland,China","China,Singapore,Italy,United States,Germany,Japan,United Kingdom"
"Madagascar","https://en.wikipedia.org/wiki/Economy_of_Madagascar","France,United States,Germany,China,Netherlands,Canada,Belgium,Japan,South Africa","China,France,India,South Africa,Bahrain,UAE,Mauritius,Saudi Arabia"
"Moldova","https://en.wikipedia.org/wiki/Economy_of_Moldova","Romania,Russia,Germany,Italy,Turkey,Poland,Ukraine,Czechia,Switzerland,Belarus","Romania,Ukraine,China,Russia,Germany,Turkey,Italy,Poland,Belarus,Czechia"
"North Macedonia","https://en.wikipedia.org/wiki/Economy_of_North_Macedonia","Germany,Serbia,Bulgaria,Greece,Italy,Hungary,United Kingdom,China,Czech Republic,Turkey","United Kingdom,Greece,Germany,Serbia,China,Bulgaria,Turkey,Hungary,Italy,Romania"
"Equatorial Guinea","https://en.wikipedia.org/wiki/Economy_of_Equatorial_Guinea","France,China,United States,Spain,Netherlands,Belgium,India","Spain,China,United States,France,Cameroon,Italy,Brazil"
"Mauritius","https://en.wikipedia.org/wiki/Economy_of_Mauritius","European Union,United States,United Kingdom,South Africa,Madagascar","India,China,France,South Africa"
"Bahamas","https://en.wikipedia.org/wiki/Economy_of_The_Bahamas","United States,Poland,Nicaragua,India,Barbados","United States,Mexico,Singapore,South Korea,China,Venezuela,Canada"
"Laos","https://en.wikipedia.org/wiki/Economy_of_Laos","Thailand,China,Vietnam,India","Thailand,China,Vietnam"
"North Korea","https://en.wikipedia.org/wiki/Economy_of_North_Korea","China","China"
"Syria","https://en.wikipedia.org/wiki/Economy_of_Syria","Saudi Arabia,Turkey,Lebanon,Jordan,Egypt,UAE,Kuwait,Germany,Ukraine,Serbia","Turkey,China,UAE,Egypt,Jordan,India,Lebanon,Saudi Arabia,Italy,Germany"
"Namibia","https://en.wikipedia.org/wiki/Economy_of_Namibia","South Africa,Botswana,Switzerland,Zambia,China,Italy","South Africa"
"Rwanda","https://en.wikipedia.org/wiki/Economy_of_Rwanda","UAE,Kenya,Switzerland,Democratic Republic of the Congo,US,Singapore","China,Uganda,India,Kenya,Tanzania,UAE"
"Congo","https://en.wikipedia.org/wiki/Economy_of_the_Republic_of_the_Congo","",""
"Tajikistan","https://en.wikipedia.org/wiki/Economy_of_Tajikistan","Switzerland,Kazakhstan,Turkey,China,Uzbekistan,Hong Kong,Belgium,Afghanistan,Italy,Russia","China,Russia,Kazakhstan,Uzbekistan,Turkey,India,United Arab Emirates,Iran,Sweden,Germany"
"Kyrgyzstan","https://en.wikipedia.org/wiki/Economy_of_Kyrgyzstan","United Kingdom,Kazakhstan,Russia,United Arab Emirates,Switzerland,Uzbekistan,China,Turkey,Thailand,Germany","China,Russia,Uzbekistan,Turkey,Kazakhstan,United Arab Emirates,South Korea,Belarus,United States,India"
